A,B,D,H,F,E
3970,862,1970,14062760,8292,18
3970,44,1091,15712896,232,18
1506,3785,1356,-2864424,2089,380
4791,3785,1689,16560816,2089,173
279,3785,1829,-6844924,2089,150
279,4246,876,-3641655,5094,150
2221,3737,730,2204831,6894,2281
2221,3480,1700,-983159,9532,2281
2221,4579,1427,-1601392,6083,2281
2428,1951,396,5122588,6419,711
2428,400,786,5580784,94,711
2428,4958,1280,-451056,9684,711
2428,4347,142,5277910,280,711
654,3187,697,-1793623,2171,2831
654,4991,692,-3026056,4913,2831
654,4763,476,-1839472,1540,2831
654,4767,1804,-8171952,437,2831
4487,3187,402,18851995,2171,33
4487,3801,824,17001145,8682,33
2588,3187,704,4454096,2171,1250
2588,1498,1908,3839560,3272,1250
2588,1064,780,5867824,6346,1250
2588,4709,192,5793616,3089,1250
2588,3571,811,3801663,2567,1250
1877,4061,224,2613465,6472,2442
1877,3599,1697,-2584374,8622,2442
499,4061,1846,-7247605,6472,2621
499,4926,1872,-8972471,8859,2621
606,4248,351,-1123812,8611,664
606,3881,1772,-6509896,6960,664
606,2553,997,-2178105,2319,664
606,1031,819,-477153,2202,664
3110,813,1026,8837962,213,779
3110,2823,747,7563319,7451,779
527,1439,1939,-2512492,5859,1023
527,3316,348,-876239,9951,1023
527,4565,2,268599,6560,1023
794,1645,1247,-1420879,2213,804
794,601,1302,-152066,4286,804
794,4516,133,29808,6446,804
3603,1645,180,12685509,2213,2751
3603,4310,148,12343729,1365,2751
4616,1645,385,20674131,2213,1932
4616,1268,333,20885212,2400,1932
3129,1641,216,9436185,4017,2965
2663,4242,571,4669387,556,2970
957,4242,1370,-4895691,556,2497
957,2123,285,310794,9418,2497
957,4002,272,-172695,3469,2497
957,2422,1960,-3831271,5517,2497
4529,4242,1944,12265393,556,198
4337,132,277,18773005,9913,2762
4337,1255,1836,16505389,1609,2762
4337,902,549,18314371,1529,2762
4337,125,404,18759069,136,2762
4337,4174,148,18191817,103,2762
3871,132,1823,14744005,9913,1713
3871,832,825,14298241,8229,1713
3871,2455,1102,12279231,9531,1713
2683,132,249,7165621,9913,2606
2683,2491,143,6842276,3312,2606
4632,132,1898,21204888,9913,1335
4632,4745,925,17066299,5971,1335
470,132,1745,-9440,9913,1711
4751,560,1446,21762241,6878,2802
4751,1279,1133,21122894,2091,2802
4751,3246,1160,18806641,7016,2802
4751,2328,1994,17929969,5652,2802
4751,4128,1161,17779393,6131,2802
4751,1916,1002,20652169,6374,2802
2592,3088,802,4241888,4201,328
384,3088,171,-380592,4201,1172
384,1599,1558,-2343786,5022,1172
384,1494,1773,-2501406,3436,1172
384,2105,1297,-2582729,9445,1172
3150,3088,87,9653844,4201,2201
3150,1224,368,9472068,8945,2201
3150,3668,1426,4691932,6165,2201
3150,1927,1417,7191941,6992,2201
3150,3732,385,8485680,4194,2201
2274,259,10,5168486,3941,1296
4770,259,1343,22405063,3941,1363
4770,2931,1273,19021737,1257,1363
4770,2184,1127,20291532,4739,1363
4770,3174,230,22022880,8756,1363
1780,2254,1074,747604,4573,193
1780,3788,377,1740324,4436,193
1780,2840,1863,-2122520,4496,193
4999,2254,1287,22089103,4573,497
4999,3179,1968,18733729,4067,497
4327,4034,1742,11695701,6989,1138
4327,4225,1442,12630479,1027,1138
4327,160,283,18677649,4721,1138
3353,3285,1654,5809219,7948,2960
1905,3285,1982,-2881845,7948,2302
1905,1586,938,2141357,6304,2302
1905,2579,204,3102909,8832,2302
4238,3285,954,14826754,7948,96
576,325,1113,-29949,2318,641
576,4120,1031,-3915944,1033,641
576,4454,1591,-6754538,2327,641
576,4138,1158,-4460028,7078,641
1916,2897,42,3549382,925,1909
1916,3904,1490,-2145904,1444,1909
1297,2897,1671,-3158678,925,1881
1297,4147,666,-1079693,2547,1881
1297,337,1939,1028766,6762,1881
1297,2659,634,-3597,2869,1881
1297,4015,1532,-4468771,6752,1881
1297,1173,1583,-174650,5656,1881
1297,869,510,1239019,5836,1881
162,2897,394,-1115174,925,1480
162,3205,841,-2669161,9718,1480
162,4757,54,-230634,199,1480
162,4956,1169,-5767320,4475,1480
2824,4115,474,6024466,3838,2070
2824,1436,329,7502532,3613,2070
2824,872,1103,7013160,9514,2070
2824,930,1856,6248896,2430,2070
4518,4115,1392,14684244,3838,725
622,4115,733,-2629411,3838,69
622,3126,509,-1204250,7970,69
4152,2582,1249,14014186,2587,1245
4152,4386,94,16826820,6813,1245
1887,2582,1811,-1115233,2587,2876
1887,3084,878,853017,3922,2876
4891,1295,389,23418126,7700,572
4891,3338,1762,18040325,8654,572
2803,1295,230,7558959,7700,749
2803,2551,1248,4673161,5814,749
2803,3346,223,7110651,6798,749
2803,2502,1621,3801067,1977,749
2803,3211,1499,3043520,500,749
1986,1295,128,3778436,7700,2349
1986,3428,1513,-1242368,548,2349
1986,2671,623,2280163,1321,2349
1986,2594,331,3085582,9889,2349
145,2663,1501,-3976138,8844,2651
145,3386,1233,-4153913,4161,2651
389,2663,1512,-3875135,8844,2507
389,4252,1716,-7145111,6288,2507
389,418,598,-98643,4980,2507
287,2281,1561,-3478272,6412,1850
718,2517,1786,-3979838,9336,337
718,3300,218,-203876,9778,337
718,4722,526,-1968248,3550,337
718,1707,1984,-2871164,4238,337
718,1797,613,-586037,8129,337
408,2754,961,-2480130,5940,827
408,3102,1985,-5991006,241,827
2889,1655,414,7661151,4494,1052
2697,4337,139,6670966,4874,2366
2697,4284,480,5217489,1208,2366
4318,4337,91,18250457,4874,1322
4318,2621,1403,14967861,486,1322
4318,4862,1519,11259746,582,1322
2855,4337,566,5696283,4874,259
2855,1134,1111,6891151,4485,259
2855,2235,414,7225735,7879,259
2855,873,1855,6531610,3818,259
2855,3933,1305,3018460,5804,259
2855,2444,134,7823529,3043,259
891,4337,992,-3508423,4874,2134
891,3407,634,-1366157,3304,2134
891,309,913,511764,4147,2134
2975,3512,1297,4295561,7039,1638
2975,4345,191,8020730,9459,1638
2975,1141,1944,6632521,9515,1638
3860,3512,1387,10028456,7039,2095
1695,3512,887,-242119,7039,857
1695,832,332,2596801,8229,857
1695,4850,794,-977875,146,857
1695,4418,1092,-1951431,52,857
739,264,129,512065,3233,2868
739,477,1273,-61100,2305,2868
3108,264,1088,9372432,3233,901
3108,4263,101,9229101,2749,901
3108,4971,358,7880046,581,901
1814,2570,1345,-166054,3783,1801
280,2570,782,-1931340,3783,2451
280,2049,1208,-2396792,8135,2451
280,3027,1611,-4798097,9926,2451
2905,1721,888,6910777,4939,2892
2905,72,712,8387761,4636,2892
2905,2677,1601,4153148,9606,2892
2905,4788,934,3967033,6359,2892
2534,1721,1143,4454053,4939,2434
2534,515,1032,5889676,9245,2434
2534,778,251,6225878,6254,2434
2534,3019,508,4887504,8431,2434
2534,4593,48,6200692,1680,2434
2534,1426,268,6038988,2977,2434
3170,59,681,10008721,3952,1243
3170,1375,684,9108400,2348,1243
2991,59,644,8908085,3952,2108
2991,324,1979,8304885,5358,2108
2991,1481,1043,7401398,2233,2108
2991,4598,1347,2752575,7069,2108
3332,4387,1364,5118356,5209,427
3332,1746,1851,7870378,4894,427
3491,4387,976,7905369,5209,2838
3491,2434,915,9959971,9714,2838
1866,4145,1219,-1570799,236,735
1866,1707,1679,615903,4238,735
1866,1330,316,3061676,9694,735
1950,4062,1962,-4167144,7955,346
2748,4062,1098,3091428,7955,2256
2858,4062,1816,791572,7955,2197
3239,4062,365,9008491,7955,2102
3239,1559,1337,8406738,8942,2102
3239,3916,1384,5071377,6306,2102
3239,1631,1063,8757368,9314,2102
1584,179,915,2345271,4137,2493
1584,2718,1369,-1211886,7652,2493
1584,1791,498,1617138,6533,2493
105,179,699,-114096,4137,483
105,770,1700,-1297975,1099,483
105,1143,1630,-1852065,9697,483
1371,179,1211,1662872,4137,2521
1371,3905,189,1141596,525,2521
1371,4487,1746,-5954661,3058,2521
1371,794,1895,375011,281,2521
3935,2697,270,14756035,2306,1816
1431,1390,1923,-625209,5606,292
510,1390,263,-105470,5606,358
510,3893,867,-3115131,1610,358
2788,1390,1544,5626784,5606,1366
2788,1525,561,6917419,3167,1366
4535,2770,976,17862705,8007,1816
4535,4537,651,17612638,2752,1816
4535,3183,452,19127509,2329,1816
4535,711,1951,19179064,4591,1816
4535,3705,1443,15219910,6665,1816
689,2770,257,-237169,8007,2822
689,2418,676,-1159847,4738,2822
689,2296,762,-1274831,1023,2822
800,4581,1303,-5329043,6954,2798
1733,324,1585,2489749,5358,1727
1733,1932,631,1784197,2306,1727
45,1199,531,-634644,5543,1424
1391,3597,670,-475109,6800,2904
1391,1858,1892,-1580455,126,2904
1391,3594,1863,-4760741,1393,2904
4838,3597,911,20129377,6800,995
1882,3065,144,3100564,2700,2407
1882,2733,1140,426304,1871,2407
1882,4557,411,1668997,6372,2407
2721,3065,378,6245271,2700,976
2721,1961,561,6303720,3866,976
143,1679,251,-400980,8034,1885
143,1685,962,-1600521,1281,1885
143,3407,1853,-6292722,3304,1885
1241,1679,1689,-1295750,8034,1711
1241,2807,1652,-3097083,123,1711
1241,1280,196,1289201,6997,1711
819,1679,918,-870561,8034,1253
1215,1679,1418,-904597,8034,1345
1215,18,1953,1441071,6421,1345
1215,456,804,1109601,8480,1345
290,3398,187,-551326,3504,434
290,4497,375,-1602275,2234,434
290,4655,616,-2783380,5724,434
2561,2017,1701,3127804,330,2161
2561,78,1129,6470659,3155,2161
2640,3260,1466,2190440,4212,698
2640,2990,79,6733390,3788,698
2640,4827,1467,-111609,2411,698
3295,3260,43,10716845,4212,2622
3295,4032,1149,6224257,519,2622
3295,2580,1740,6367825,2915,2622
3295,1633,1151,8977442,7772,2622
1053,3260,925,-1906691,4212,1849
1053,2630,1399,-2570561,4173,1849
3329,3260,369,9879301,4212,1733
3329,3022,688,9003105,8407,1733
1498,2785,1258,-1259526,7544,1101
3687,2785,449,12343504,7544,2696
3687,4492,1851,5279277,7927,2696
4149,746,258,17021733,2487,1091
4149,4844,571,14448277,9201,1091
4149,2150,1365,14279451,9898,1091
591,1259,1180,-1136339,2620,1390
591,148,335,299701,2043,1390
591,3432,528,-1462815,5957,1390
591,2967,1427,-3884628,9696,1390
4591,1259,615,20302996,2620,1955
4591,2954,981,18179407,3905,1955
4591,1127,818,20155395,9135,1955
4591,1353,767,20039530,8814,1955
4591,2379,1433,17668174,1112,1955
3973,2839,1079,12721448,5920,1718
3973,2269,872,13806161,7247,1718
3973,1943,1238,13379295,9388,1718
1630,2839,1660,-2055840,5920,1308
1630,121,1836,2434744,6534,1308
1630,1804,1366,192636,5429,1308
1630,3236,1798,-3161428,8166,1308
50,2839,1301,-3691039,5920,16
50,3947,600,-2365700,1325,16
3022,3170,1279,5078054,2997,1382
3022,2575,103,8867259,228,1382
3022,2593,1798,4470270,9782,1382
1541,1547,1235,464136,1152,1848
1541,3042,192,1790617,4952,1848
2429,1547,1125,4159666,1152,776
2325,1547,1855,2535940,1152,474
2325,1517,1545,3061860,3103,474
2325,2636,706,3544609,3667,474
1818,657,1187,2525265,6373,1009
1818,2606,771,1295898,8341,1009
3857,1216,1188,13431841,9042,375
3857,1110,24,14849809,7528,375
3968,1216,106,15616128,9042,889
3968,4805,1826,6971094,6859,889
3968,2550,834,13618324,4155,889
1881,1216,824,2536177,9042,2355
1881,3978,134,3005109,7140,2355
1190,2891,1044,-1602104,4557,2979
1817,2891,351,2286748,4557,2337
1817,1666,1538,739181,6690,2337
1817,2559,1317,-68714,7195,2337
1817,1017,1537,1738360,6514,2337
1817,476,1479,2597485,5988,2337
2106,3124,559,2688920,6716,2861
2106,2392,1659,466908,5268,2861
2106,3195,1588,-638424,1533,2861
2106,1623,1051,2729463,6952,2861
3822,3124,346,13526780,6716,454
3822,1702,1730,11663224,2505,454
3822,4326,1528,7997556,5604,454
3326,3124,1537,6260688,6716,1647
3326,3745,1370,5931626,2899,1647
1329,1156,321,1395165,2641,396
1642,1156,276,2377108,2641,317
1642,4322,810,-804656,1280,317
1298,1156,1822,-421428,2641,2444
2676,823,1438,5977502,2656,1312
2676,4900,1735,-1340524,7261,1312
2676,1906,1072,5117744,9865,1312
122,823,1608,-1308500,2656,757
122,2195,876,-1907936,4749,757
122,4375,392,-1700116,807,757
122,1813,80,-130156,8038,757
4468,823,480,19567984,2656,1403
4468,3091,794,17508770,8170,1403
4468,1059,488,19446232,8215,1403
2600,823,1321,5672817,2656,496
2600,1040,996,5724160,2650,496
144,1595,1111,-1751309,3288,736
1161,1595,1391,-870724,3288,173
1161,2450,1204,-1601879,7493,173
4858,292,900,23337364,1254,957
4858,2835,151,23172079,439,957
2776,292,1349,7312268,1254,1000
226,292,186,-3236,1254,1591
226,3131,772,-2366056,413,1591
1290,989,25,1639375,7887,2256
1290,1357,753,642279,6136,2256
1703,989,1246,1667915,7887,308
1703,2002,671,1556867,2262,308
1703,2878,1323,-907385,7345,308
1116,469,1965,323871,5106,2686
1116,3762,1623,-4860270,3249,2686
1116,1747,705,13821,785,2686
1116,3274,1580,-3927464,4931,2686
1116,574,848,758704,4920,2686
1116,3384,4,1231920,8962,2686
4082,469,414,16468558,5106,522
4717,3200,490,20682089,856,53
4717,4562,1918,13500173,3158,53
2610,3415,482,5166070,5366,2171
2610,3863,18,6742566,9828,2171
3003,1993,668,7686685,3151,1686
3003,4293,174,8271027,6408,1686
1540,4181,1751,-4949331,4426,1369
1716,3718,1440,-2409264,7593,677
1716,3862,627,523182,3978,677
4849,3718,735,20780071,7593,1636
4849,3968,1891,16009313,3680,1636
4849,2085,229,23035336,7229,1636
4849,248,92,23489985,3473,1636
3114,3718,925,6257846,7593,371
3114,4959,1066,4410702,6155,371
3127,3718,1278,5026525,7593,2366
1237,3269,1413,-3088928,1991,2099
1237,1696,476,722873,8852,2099
1237,4099,994,-2544237,137,2099
1007,3347,1080,-2600711,2124,2533
4374,4818,642,16038720,3155,612
4374,2844,1365,15249816,3513,612
4374,1477,24,19096428,7521,612
3876,575,1243,14308651,3082,2945
3876,3465,1354,10331766,6441,2945
2809,4916,1799,-953403,1220,1456
2809,2553,933,5508532,2319,1456
97,1599,1616,-2574575,5022,1352
97,4887,1892,-9236795,6921,1352
2346,1599,1670,2833386,5022,321
2346,2736,1337,1845684,8717,321
2346,4418,556,3047308,52,321
2346,1410,1950,2754216,541,321
2346,2800,348,4529316,6197,321
2346,3090,362,4385136,8508,321
4978,2790,1558,20433664,1528,2049
4978,4968,1414,17755732,1727,2049
4978,1798,1246,22540176,3022,2049
4978,2903,1591,20161811,6490,2049
3737,2790,68,13775449,1528,1860
3737,580,173,13864829,8479,1860
3737,1314,1792,11610481,1786,1860
3737,81,755,13904014,7385,1860
2249,3189,421,3715432,2766,779
1028,3189,1930,-5097986,2766,1593
1028,3836,589,-1202620,8535,1593
2166,3189,1212,826488,2766,2979
2166,2306,1188,1952028,5052,2979
331,3189,1018,-3136841,2766,2206
331,614,950,-473739,9186,2206
4291,2922,1310,14584861,7163,638
4291,383,280,18305441,5392,638
4291,1818,1624,15460249,8630,638
2185,2922,1287,1013611,7163,2761
2185,4305,422,2957515,5724,2761
1040,2900,764,-1134000,7181,1514
1294,2900,661,-242464,7181,1292
1294,1198,1307,108650,261,1292
1294,177,577,1572307,1009,1292
1294,1833,543,679117,7778,1292
4030,3087,1360,12042580,435,1788
4030,37,1552,16183476,4487,1788
4030,2273,1480,12876860,2232,1788
3812,510,451,14301334,6689,193
3812,1448,116,14363376,5914,193
3404,3891,1686,5026990,4673,989
3404,1562,1448,9325440,2888,989
3404,3215,1785,5848441,7775,989
1930,3891,872,331948,4673,2630
1930,2394,634,2207104,7899,2630
1930,2334,1589,16174,5974,2630
781,4288,747,-2593175,735,2510
452,4288,819,-3307568,735,1399
96,656,92,-51136,8265,744
96,3220,1108,-3558544,5875,744
565,2021,618,-929753,221,1618
565,2868,483,-1066019,9927,1618
565,3168,1324,-3875207,1145,1618
565,1432,1951,-2474607,4118,1618
565,2701,503,-1039378,275,1618
565,4020,1516,-5775095,4155,1618
1497,2021,725,775784,221,2205
1497,979,941,1319770,8966,2205
1497,809,242,2045231,7265,2205
1781,2021,806,1543035,221,1914
2334,2244,1829,1343280,3550,695
2334,1182,1928,3168660,4468,695
2334,1943,1183,3148987,9388,695
2334,4149,1079,970785,7330,695
126,2381,1744,-4136588,5958,930
126,534,1387,-724782,255,930
126,223,1080,-224964,4832,930
126,467,1411,-643061,8134,930
126,1210,1445,-1732574,6199,930
2710,2131,943,5334567,1825,2497
2710,2556,1221,4223224,8572,2497
2710,1182,1844,5164492,4468,2497
2710,1541,1341,5277619,2070,2497
3762,2131,788,12473416,1825,1336
3762,3435,136,13685484,1845,1336
2631,4986,1296,460305,1309,502
3346,3108,352,10101700,3355,851
3346,2456,934,8901812,7960,851
3346,2127,875,9334591,8064,851
3214,3108,766,7949068,3355,1514
3214,982,218,10115720,564,1514
4662,3302,846,18940752,3504,1138
1767,3302,1891,-3121793,3504,1158
1767,4701,1690,-4822401,4774,1158
1767,2966,561,1458363,5635,1158
1767,2414,1466,-416635,180,1158
590,3302,326,-728352,3504,2354
590,1189,1035,-882515,3597,2354
590,4897,1066,-4872102,5633,2354
590,4258,1278,-5093624,8412,2354
1279,3302,786,-959531,3504,2647
1112,3302,40,1104464,3504,2284
1112,3267,1375,-3255581,2391,2284
1112,3762,1957,-6125690,3249,2284
1112,1646,1829,-1773990,6238,2284
4306,3414,1615,13028026,5188,740
4807,3414,604,21045193,5188,1733
1597,724,1603,1389837,7331,2035
1597,300,1720,2034409,1242,2035
1597,4954,1726,-6000195,5954,2035
4104,724,755,16296196,7331,752
4104,1521,1522,14527854,5766,752
4104,2701,1242,13488174,275,752
721,724,1683,-698651,7331,1387
721,2945,1728,-4569119,8706,1387
837,4680,341,-895311,6886,2505
837,1672,1659,-2073279,7269,2505
837,242,302,627485,4229,2505
837,2573,998,-1867285,1968,2505
2367,4680,754,2073969,6886,640
2367,4950,427,3489039,6539,640
2367,365,1882,4915759,5196,640
2367,3719,1543,-135728,2944,640
2136,4680,1018,-201744,6886,2188
2136,1691,824,3169112,8885,2188
2136,440,186,4480656,6252,2188
445,2997,551,-1453322,5671,970
445,1685,1936,-3064135,1281,970
445,782,918,-519851,6057,970
1152,2997,530,-261306,5671,1088
1152,1177,740,456124,4463,1088
525,3481,50,101575,1081,1975
84,3481,1522,-5291026,1081,2763
84,2251,782,-1753226,6028,2763
1251,3481,1514,-3705233,1081,2265
1251,1073,599,922274,7840,2265
3828,3481,161,14093143,1081,139
3828,1685,1164,12692244,1281,139
3828,4729,1609,7044623,4966,139
3828,2955,697,12593949,5480,139
2276,4213,1169,255179,3166,1630
2276,3738,1630,-912764,3919,1630
2276,2502,1774,741628,1977,1630
2276,2762,1048,2285600,9747,1630
2258,3084,372,3951316,3922,2771
2258,4977,201,4098187,6494,2771
2496,4168,1306,786608,1008,280
2496,2169,1550,2868066,7372,280
2496,1959,607,5040903,3640,280
38,4168,115,-477876,1008,2694
38,4910,1728,-8483036,6655,2694
3155,4168,1374,4227193,1008,2375
3155,1077,815,9076270,4239,2375
3155,1230,632,9176665,5853,2375
3059,4168,440,7523561,1008,2568
3059,397,948,8981125,5643,2568
3059,2872,1724,4406153,5238,2568
830,4168,492,-1361756,1008,2469
830,2400,1326,-2493500,5308,2469
4271,2286,894,16197757,5279,700
4271,483,737,17885470,9749,700
4271,4993,1842,9044335,4999,700
4271,3023,1569,13498354,7843,700
2120,298,1121,4160342,8662,1861
2120,451,1172,3965828,505,1861
2120,213,1493,4176391,9616,1861
2120,694,1927,3157062,6607,1861
3174,298,497,9926170,8662,633
4191,2954,1615,12793771,3905,773
4191,498,364,17383209,1997,773
4191,3575,1130,13524731,5609,773
4032,1521,797,15044787,5766,2408
4032,3194,838,13580452,9209,2408
4032,2655,1197,13078989,1208,2408
4032,3307,1476,11375892,6982,2408
4032,4964,567,13442436,675,2408
3930,1521,1492,13175568,5766,138
3930,3254,1067,11972882,3896,138
3930,2651,537,14021313,4081,138
3930,2022,116,15210348,5991,138
3930,177,830,15297990,1009,138
1111,4884,562,-1510487,4171,99
1111,4980,1909,-8272499,1099,99
4033,4884,895,11893909,4171,2282
4033,760,307,16031769,8365,2282
4033,2489,1218,13233487,6410,2282
457,4793,1100,-5063451,7224,617
457,833,393,-118520,4212,617
457,971,1239,-994220,8408,617
457,3825,287,-888926,7502,617
457,2434,219,-324197,9714,617
457,2665,1226,-3058441,1996,617
221,750,1630,-1173659,3010,965
221,2627,170,-397749,4395,965
379,750,310,-88859,3010,1950
379,2312,800,-1705959,2563,1950
379,4715,646,-2902249,8066,1950
379,566,791,-304065,6969,1950
1032,750,728,519024,3010,2334
1032,632,720,609984,8607,2334
1032,2864,1637,-3623344,5053,2334
1617,1744,858,1118337,9877,1822
1617,3609,1717,-3581964,4933,1822
1617,932,603,2052693,6791,1822
1465,1764,336,1553521,4436,578
1465,2127,1244,-499763,8064,578
1465,3112,1914,-3810143,6207,578
4097,1764,1160,14739169,4436,1395
2690,3451,22,7160178,2282,2643
2690,3758,791,4263522,597,2643
2690,4481,1430,828270,9143,2643
587,3451,734,-2188465,2282,467
587,4596,1110,-4756991,1971,467
587,4608,1343,-5843975,7591,467
587,3083,846,-2263649,7075,467
587,4012,1386,-5216063,1169,467
2403,3451,1349,1119010,2282,2943
1763,3328,1548,-2043575,7328,2095
1763,4845,709,-326936,1945,2095
1763,3761,742,317507,2247,2095
1753,3948,1276,-1964639,9002,1373
1753,1758,1363,676855,5220,1373
1753,722,1849,1738031,6475,1373
1753,4780,1181,-2572171,9761,1373
338,936,29,87100,7071,907
284,936,1755,-1562024,7071,279
284,3672,1535,-5555864,5498,279
1124,936,808,507088,7071,403
1124,3076,922,-1572696,7310,403
1816,611,1661,2282985,625,2531
1816,3829,85,2972391,3206,2531
220,611,1253,-717183,625,197
220,1710,1875,-3157850,9865,197
220,3110,1334,-4100340,6384,197
220,1283,923,-1135809,436,197
220,2462,1357,-3292534,3080,197
220,4284,1434,-6094856,1208,197
220,758,1467,-1063586,5858,197
4300,3906,1173,13908262,7178,851
4300,1044,1142,17297752,552,851
4300,358,399,18347158,9667,851
3716,1217,1264,12270368,7777,2633
1550,159,1203,2211223,8526,594
1550,618,1394,1541008,5292,594
1550,4682,1500,-4620500,1421,594
315,159,713,-14142,8526,1959
315,3630,414,-1403595,3100,1959
315,2771,441,-1122786,6931,1959
315,913,1445,-1220060,3131,1959
315,4398,1315,-5684145,8029,1959
315,414,757,-214173,4351,1959
3728,3261,1383,9388021,4825,2208
3728,4191,962,9866242,8438,2208
1035,2537,1776,-3434487,8925,1115
176,3368,625,-2074024,1935,2176
176,4505,869,-3883869,8816,2176
176,4270,1043,-4422634,5251,2176
1804,3368,1885,-3094264,1935,1928
1804,2196,937,1196764,9268,1928
1804,567,1773,2249125,3740,1928
1880,3698,553,1489406,7298,676
1880,1914,354,2856844,7812,676
4188,3698,1159,13253362,7298,864
4188,1737,1943,14164353,9122,864
4188,4342,424,15698336,8102,864
2773,3698,1057,3780743,7298,756
3574,4694,459,10618930,4637,35
4134,4694,859,13057810,4637,1787
2465,4694,1808,-2410527,4637,1892
2465,3663,912,2735569,1865,1892
2465,4060,374,4557785,6093,1892
2465,1621,1618,3453447,9648,1892
4361,4694,1930,9958901,4637,807
4361,4584,767,15502393,5115,807
3702,4847,1412,6860840,6397,2378
3702,4198,1758,6324720,1385,2378
3006,3791,418,7451398,6258,2960
3006,3794,49,8850130,4824,2960
4220,3791,889,14438201,6258,2867
4220,1331,1189,16225841,1433,2867
4220,4750,969,13205650,6294,2867
4220,3587,420,16301860,1141,2867
801,3003,758,-1634673,1409,598
801,3703,967,-2939200,962,598
2022,3003,1627,-797397,1409,1123
43,3546,1857,-6583073,1662,1026
986,1274,60,895756,4969,1453
986,4177,690,-1909934,4182,1453
986,86,571,923090,1015,1453
4704,1274,1076,20756792,4969,1608
4704,2386,1700,18071416,424,1608
4704,678,1280,21259776,7984,1608
1894,3687,1148,-645440,6753,923
1894,1739,704,2362980,3631,923
1,3687,893,-3292490,6753,301
1,4909,71,-348538,3335,301
1,863,1196,-1032147,2474,301
3162,3687,1788,3405888,6753,1480
3162,1116,732,9181332,7733,1480
599,3687,1207,-4091408,6753,1298
599,4428,253,-761483,8835,1298
1360,3687,1591,-4016417,6753,1464
1360,800,1592,576000,7160,1464
409,3687,1750,-6284969,6753,1352
409,2377,787,-1703418,6108,1352
1629,3630,915,-667809,3100,998
1629,602,1649,1660943,9398,998
3724,3630,1626,7965796,3100,2023
3724,2706,1558,9652228,6124,2023
946,3365,1937,-5623089,7279,1326
946,4219,930,-3028754,8766,1326
946,154,1001,740762,9045,1326
946,3917,475,-965659,6372,1326
411,3365,1106,-3552769,7279,1654
411,287,1077,-140178,4371,1654
411,896,1441,-1122215,3782,1654
3521,3782,626,10029909,9286,2686
3521,1231,1807,10173024,1180,2686
3521,1806,541,11420395,2222,2686
3096,3782,1872,2505312,9286,28
3378,699,1901,10082085,8241,282
3378,4119,442,9590286,654,282
3378,2450,1348,8108284,7493,282
4428,699,1093,18843177,8241,1891
4428,4799,1896,10508280,363,1891
4428,2565,481,18373419,7518,1891
2865,4468,1196,2864497,7541,2079
2865,4628,881,4130957,1512,2079
4364,4468,1226,13566728,7541,36
2517,1545,969,4838184,9044,39
2892,3721,1068,4389636,9470,600
2892,3270,1825,2395914,9902,600
2892,3832,1960,852944,6928,600
2892,3832,1019,4458856,6928,600
2380,3721,1394,477326,9470,640
2380,4577,1522,-1301794,8725,640
1353,2714,181,1339375,7458,4
4154,2714,1580,12967596,7458,1132
4154,564,1335,16502776,3237,1132
2837,2714,1975,2688419,7458,218
2837,4720,841,4079049,5967,218
4979,2625,118,24480691,290,1112
4979,2616,145,24411121,6302,1112
4979,2481,1157,21919924,8853,1112
3139,2625,1524,5852821,290,2699
3139,2027,6,9841159,3008,2699
3139,3873,1528,3935377,7700,2699
3139,1486,1642,7413309,3934,2699
3139,4845,90,9417271,1945,2699
3139,1059,203,9638344,8215,2699
3139,1609,1021,8210532,5443,2699
1535,2625,1728,-2179775,290,1824
190,4933,1619,-7950427,1760,1127
190,1784,23,-4932,6707,1127
190,4237,1863,-7857431,4011,1127
190,4350,1551,-6710750,3406,1127
16,552,1687,-930968,1880,1308
16,1226,1465,-1795834,4817,1308
579,2615,747,-1618164,6834,2713
579,3209,1295,-3820414,802,2713
4123,3164,1840,11177369,9031,479
4123,101,43,16994786,6642,479
4123,3207,1987,10626820,4445,479
4123,868,1490,15705809,5174,479
4123,1067,751,16197812,661,479
49,3164,1982,-6268647,9031,2839
49,3810,1184,-4508639,490,2839
2060,3164,1397,-176508,9031,1260
2060,3319,1226,174506,2594,1260
802,3275,368,-561996,7074,2256
802,1871,1833,-2786339,5779,2256
802,4594,471,-1520570,5221,2256
802,540,152,561124,3772,2256
1692,3275,204,2194764,7074,2464
1692,3591,1732,-3356748,4198,2464
1692,845,1490,1603814,9383,2464
3282,3275,119,10381799,7074,1762
3282,1757,1193,8675423,1717,1762
3282,1049,1902,8776326,4137,1762
990,3275,1745,-4734775,7074,1187
990,2950,1436,-3256100,4766,1187
990,4862,1723,-7397126,582,1187
671,3275,1600,-4789759,7074,1934
671,3863,54,241639,9828,1934
4900,1890,1771,20662810,9210,1216
4900,4252,1867,16071516,6288,1216
4900,1986,1225,21577150,805,1216
1839,3516,1325,-1276779,9421,2659
1839,121,1165,3240956,6534,2659
1839,2066,49,3280687,1977,2659
1839,3048,357,2293785,7353,2659
1839,143,454,3316999,1653,2659
4339,859,1206,17790967,1079,1093
4339,3277,1252,14724117,2777,1093
1246,859,1628,154064,1079,2049
1246,4119,1508,-4658936,654,2049
1246,3015,1113,-1803179,1779,2049
1246,4512,1516,-5287676,5691,2049
2175,3557,1347,-60654,6957,2257
