A,B,D,H
1386,3658,150,1372296
3067,54,1916,9303025
1284,2784,1834,-3457200
2153,1134,1246,3222445
2073,3306,1325,-83121
1791,4673,1854,-5456061
326,196,114,83932
263,992,1166,-1087503
439,629,46,163787
1314,4688,1881,-7091532
4338,1404,571,18016560
546,8,807,291660
3762,3435,136,13685484
3059,397,948,8981125
2653,2581,431,5925998
4216,2864,162,17310688
4150,1520,1346,15176580
4575,708,1555,19829685
210,2500,816,-1995900
2882,2363,484,7162232
4132,3451,1903,10506171
1791,1489,120,3029001
4217,886,800,17074289
532,2583,682,-1478582
4993,1110,184,24725809
2342,3852,639,3023536
1246,3015,1113,-1803179
3006,3794,49,8850130
4112,2886,98,16625716
4204,1017,1560,16087096
1056,3712,747,-1657728
852,3662,768,-2086512
1265,4551,581,-1043906
3650,329,969,13003699
1735,1224,696,2158321
2624,1642,800,5571776
299,3946,1070,-4132819
4793,1381,191,22709078
1821,2795,650,1499291
3822,4326,1528,7997556
3088,4030,1425,3792994
229,626,1234,-720043
2415,2564,1903,952933
412,1654,1568,-2423728
1742,4497,1939,-5685119
657,1288,177,203673
2369,1901,1664,2448897
3445,4783,962,7266779
3917,2683,97,15082638
4961,982,854,23772893
264,3709,1787,-6558287
3056,2006,60,9218776
1046,995,769,328961
794,4516,133,29808
4629,2909,1366,17453947
366,2374,1022,-2292272
3852,882,1913,13150638
1049,717,185,967756
1491,136,1677,1995009
3326,3124,1537,6260688
2661,2855,714,5042451
4066,1342,541,15806334
384,3088,171,-380592
3786,304,176,14280292
3159,4597,1482,3166527
1745,1345,1012,1683885
3895,984,1910,13291585
3112,4020,1751,2645524
1954,4407,1792,-4079228
1097,4593,1941,-7711604
546,200,809,136316
605,165,1972,40645
750,3614,1231,-3886334
640,2488,1004,-2088352
4425,3913,1572,13429389
4391,1251,39,19232092
2953,2528,1848,4048465
1470,4577,430,192790
3150,3732,385,8485680
1003,1441,858,-230369
68,1246,1504,-1869360
2186,764,1511,3624192
4142,2346,1000,14810164
2122,2282,1055,2095374
4969,3295,1722,19016971
53,4414,306,-1347875
1957,3972,351,2435677
244,3822,513,-1901150
2146,3393,1486,-436682
1780,2840,1863,-2122520
307,972,1380,-1247111
1155,999,1500,-164475
3338,4057,1846,3653022
2557,4064,857,3055401
3420,508,881,11248852
717,2941,836,-1944587
2257,1130,445,4591199
4307,3987,731,15635752
4855,539,1287,22877332
3542,3203,707,10281243
4800,3730,965,19440550
4802,163,630,22956514
4686,4521,1359,15814557
1686,4752,1368,-3658140
185,1161,1989,-2275004
3634,2188,1070,10864796
1717,1582,564,2055841
2813,955,267,7657984
1371,794,1895,375011
3419,3370,1947,5128171
3415,1030,1362,10259365
4674,1976,1329,19220172
3960,2337,184,15251592
2317,4653,424,3395617
851,1702,988,-957375
1427,522,1147,1437595
2527,4208,1457,254673
2966,4719,776,5135212
2369,153,1433,5392912
2552,3200,778,4023104
4491,3657,778,17323935
2757,961,1299,6352710
2367,365,1882,4915759
3875,4956,1556,7304089
3400,4280,370,9976400
912,1353,684,-93708
1822,3284,1208,-647388
3407,131,182,11583807
3036,2328,1885,4829016
2546,2459,1219,3484595
3395,1756,1388,9088697
2334,1182,1928,3168660
3016,164,1138,8909624
4654,749,1893,20241859
3862,3591,524,13033360
3202,1058,405,9824314
1767,2414,1466,-416635
4121,1372,1433,15016565
3108,264,1088,9372432
2282,223,809,5027117
597,4267,1268,-5054147
54,4910,1771,-8692694
3933,4069,635,12884674
1922,3745,155,3113609
4338,887,1913,17121413
1997,2122,1585,624639
4619,3028,942,18482785
1116,3384,4,1231920
4497,3123,1355,15991344
3595,4119,446,11086951
3575,793,1826,11332607
3880,4754,1524,7809304
4808,237,804,22926316
4092,3690,1556,11002824
1963,1036,929,2890925
2593,1109,489,6181348
1840,234,524,3262984
1595,3367,1677,-3102434
173,1334,1660,-2184511
964,616,938,351488
4595,1664,931,19564841
2305,408,444,5131873
487,1869,1228,-2057963
4767,2559,1367,19226136
1464,2821,1204,-1253188
1537,3232,104,2026241
3705,4019,277,12613762
4324,3951,1045,14568181
1063,94,242,1107221
3228,2701,1910,5261074
1322,3733,1420,-3553176
3394,4846,1824,2680132
3768,4819,1060,9089684
4620,115,681,21266085
2343,1818,747,4131603
2655,3322,1939,607667
4262,1824,471,17305540
2154,53,1509,4559739
150,3924,1156,-4513644
4087,489,597,16411636
3174,298,497,9926170
2597,3894,1551,704815
280,2570,782,-1931340
3297,1667,1444,8463061
149,4901,1703,-8324202
720,4564,569,-2078516
4090,4170,990,12599800
1955,597,818,3333679
2373,1536,1792,2878617
987,2941,1486,-3396157
104,11,1655,-7389
2070,608,812,3791204
1807,119,1331,3106860
1060,1728,1444,-1371632
3862,3957,595,12560629
3181,164,1975,9794861
3773,4521,235,13173094
2290,4717,58,4970514
331,3189,1018,-3136841
1449,777,128,2000145
1221,2090,805,-191609
2136,1691,824,3169112
1198,3659,1931,-5630325
2054,3296,55,4037636
307,1337,816,-996743
1262,32,925,1563044
546,2553,1475,-3467559
409,3687,1750,-6284969
147,1394,1534,-2116787
2973,4462,1458,2333133
4360,1905,1198,16727410
3688,4545,691,10460749
1506,3785,1356,-2864424
3461,1371,127,11804404
1693,2402,1930,-1769611
3567,4717,127,12124430
4572,1065,1436,19373844
3366,1882,333,10703250
4992,1094,143,24763622
4670,387,666,21551158
3322,1107,1174,9736066
4225,430,776,17516945
2593,2575,457,5546874
3584,781,672,12320224
2915,2958,664,6533113
191,332,378,-89015
1555,3065,153,1949080
4307,609,261,18391300
4063,2142,1606,13067917
4712,4665,1675,14389069
923,558,1553,-14645
3255,2209,1617,7023072
122,823,1608,-1308500
1465,3112,1914,-3810143
166,416,1093,-427132
2513,202,1627,5986515
2656,2656,421,5936160
4924,1765,1701,21243511
402,3083,1017,-2973807
1409,3746,1207,-2536141
4005,4977,1190,10117395
1766,944,14,3105540
1683,4322,183,2041563
1723,2350,75,2792479
141,3634,663,-2389461
2970,445,706,8506730
763,2753,20,527109
1264,3185,1271,-2450439
257,2450,1506,-3623651
2227,2358,403,4009255
4967,1473,1384,22632457
4092,3735,903,13371759
3860,3512,1387,10028456
2655,373,751,6768902
1170,896,720,723780
1767,4701,1690,-4822401
3113,3255,1854,3655999
4851,4634,507,21182763
1834,3391,298,2353038
689,2770,257,-237169
4123,868,1490,15705809
3970,44,1091,15712896
2649,3942,278,5921325
2867,2404,99,7981693
4128,2693,307,16213633
2461,3409,661,3803172
2719,1451,641,6462870
4024,2418,530,14911036
70,4544,122,-549468
4032,4964,567,13442436
4173,857,1128,16447233
1161,2450,1204,-1601879
1693,3283,127,2449308
3001,3441,1072,5317249
2223,3835,674,2356939
1831,64,3,3352369
1411,419,1531,1349432
1191,3046,1642,-3583051
4226,599,1512,16953388
2350,257,1613,5107959
3946,1090,473,15055346
1589,1239,1076,1191757
3854,672,1112,14106052
1041,1864,95,906601
4894,4338,66,23664928
3120,1184,163,9541408
2112,1598,1484,2089112
3298,339,683,10645267
4467,2252,68,19800953
3311,1135,1622,9121751
2594,3514,754,4079280
1094,3321,1381,-3389465
3968,1216,106,15616128
4356,2713,1227,15645885
1789,1091,520,2633201
3330,1109,1486,9440926
3538,1446,1252,10707052
1331,4649,1933,-7214956
1479,3160,24,2111601
1260,1228,363,1141836
3916,1134,739,14497030
1203,3075,206,813759
2520,4889,1576,-1354664
2207,2148,10,4849369
1100,3080,474,-249920
3959,2319,871,13653832
992,7,553,980193
3936,2387,320,14728256
3904,1206,1033,13995418
1613,2678,752,587913
4079,4880,1146,11045761
4597,845,1321,20016164
4714,4439,757,18861473
1528,2478,1912,-2403152
821,4617,1299,-5323442
545,1803,874,-1278797
1516,2146,1495,-910014
2435,4363,1006,1540047
172,2342,1099,-2544274
4063,2301,1049,14094220
1716,3718,1440,-2409264
343,4153,969,-3906608
730,2387,518,-703566
4476,2045,1797,16359711
3036,2943,212,8593380
3063,4995,766,5555799
1722,2773,454,1706342
2892,3832,1960,852944
340,580,1315,-647100
3024,4088,1510,2971696
1173,2596,1361,-2157227
3517,4173,413,10645840
2597,759,303,6514432
3282,1049,1902,8776326
2528,3655,7,6365199
1158,668,978,687660
2797,4811,397,5913242
3990,4219,1924,7802744
4090,3715,1921,9591585
1274,4258,208,737412
174,2977,203,-574055
124,18,1316,-8312
3844,3819,684,12164140
1209,3336,1212,-2581551
2246,3070,1133,1566206
182,4413,875,-3828251
3122,4247,1808,2068308
1212,2503,1962,-3441942
4076,2996,1358,12545208
1199,3570,1642,-4424339
1226,1765,1709,-1513309
738,278,28,536860
3333,4867,1657,3044270
3837,4401,298,13411071
4570,1629,708,19731568
1212,3251,1520,-3472576
4753,3965,1984,14724449
3347,4697,550,8619059
4257,4393,721,14954696
2638,2085,1566,3693934
2039,1824,1236,1903057
1466,34,924,2117740
891,309,913,511764
4105,2038,589,15650643
1016,2995,1997,-4948759
519,2373,1618,-3570153
4803,4627,564,20459181
4626,1339,334,20952650
475,2473,971,-2175658
3485,1406,1920,9445705
3830,2736,1849,9610036
1899,1981,1522,591119
4061,2215,1338,13528051
2057,4155,553,1933534
362,4535,1441,-6403891
1556,71,591,2379175
3092,1182,1780,7456504
2371,1246,1128,4216153
3234,2579,1090,7647646
3289,4701,937,6412684
4253,4573,889,14022612
4782,2947,1672,17940140
3820,2953,1628,9784916
3550,2199,792,10860892
2312,1022,1872,3432160
1931,3933,585,1427956
2939,1782,153,8365075
3347,3936,1699,4515145
3118,4974,1984,-146492
2712,1499,626,6416570
4268,1746,779,16855690
2587,957,1841,4930732
2204,152,1305,4659256
1784,4215,1008,-1066064
4396,1949,1987,15452153
1370,2203,147,1553059
3345,4401,918,7148907
3057,3599,1190,5062439
4574,507,1963,19926235
3389,4659,761,7939822
974,2946,254,200392
294,4323,385,-1577919
562,1208,842,-701292
4731,1874,1128,20268489
4237,3855,265,16930594
2762,2149,1526,4349270
2251,1560,557,4198081
1538,2347,903,246103
3593,3678,1220,8422489
255,4899,815,-3927660
2845,4271,593,5561322
1087,3003,94,899287
335,2899,1148,-3215827
151,2207,38,-61065
3527,350,1674,11853829
459,2190,934,-1834779
1013,632,1286,213417
701,2595,1290,-2856149
471,4709,1785,-8183724
937,2935,1119,-2406296
858,4064,688,-2059868
3590,3053,442,11538674
2159,3497,1339,-21202
1224,1783,1020,-320484
3440,4641,1695,3967105
4996,4529,1852,16572308
2183,810,1226,3772429
4834,1858,1384,20796084
765,1018,176,406057
2773,3698,1057,3780743
1012,674,66,979660
2036,4259,1558,-2490226
4553,1400,1493,18639609
736,4902,1259,-5629922
2228,1046,1255,3651254
3346,2456,934,8901812
1572,98,772,2395528
4805,4609,14,23023499
717,2378,1352,-2700967
539,1492,1057,-1286523
13,911,1366,-1244257
1463,1849,296,1593065
524,3475,1686,-5584274
1183,4092,1306,-3944663
730,2485,1870,-4114050
300,4710,584,-2660640
2453,2506,171,5588683
2899,2149,131,8122682
427,1691,984,-1481615
2016,3036,1164,530352
3644,948,1464,11890864
2971,1961,96,8638585
3594,3973,941,9178243
2088,4149,238,3372282
4174,2357,1898,12948690
738,3738,1129,-3675558
1900,2710,1671,-918410
2076,2844,495,2901996
3055,1322,1376,7513953
2896,2456,74,8205072
4758,119,227,22611551
4213,82,598,17700333
1771,1076,494,2604897
4742,2728,1749,17715292
1681,3197,1807,-2951218
3325,4842,887,6760771
2550,3518,321,5373222
463,4895,1708,-8146291
1839,3048,357,2293785
1776,445,1168,2634416
434,3756,596,-2050220
3951,1581,1490,13254711
4871,393,958,23350147
466,2623,1454,-3596686
727,2536,1349,-2892535
1021,325,122,1002791
719,1878,1724,-2720711
234,506,763,-331322
2446,1078,108,5866492
2646,4170,1414,1104936
2783,4198,714,4747717
2337,924,244,5236113
1381,1464,1768,-681191
4258,2691,949,15576805
4252,1022,1624,16419776
3633,2518,1515,9383919
1468,153,383,2096425
295,2943,1661,-4801298
4555,4334,598,18156293
4135,3623,1430,11917335
1821,1265,1206,1790451
3899,1571,1134,13420687
3029,4896,1875,-5159
928,3235,92,563564
576,4138,1158,-4460028
4034,3313,1787,10352825
2770,2357,999,5318257
1735,2873,183,2484466
481,87,33,228490
1762,3900,854,-225956
4276,4923,1592,10446760
2875,2930,1333,4359935
4419,2392,821,17563729
4167,3102,1176,13715937
4965,2119,1638,21180303
3144,2340,1866,5518296
4340,4811,1748,10425972
3825,1936,1968,10820577
2897,1206,1915,6083119
52,83,930,-74486
2465,1621,1618,3453447
1676,1356,1174,1217032
4796,510,58,22972036
2343,2134,1949,1330483
3289,2301,1749,6793072
4256,3713,354,16799134
747,4247,65,281954
3758,1159,606,13420210
4748,582,87,22492870
1851,3640,1841,-3275039
492,1811,228,-170844
2039,1363,1348,2320197
3741,2089,1123,11649134
1695,3512,887,-242119
4587,2205,1610,17490519
780,951,69,542781
3083,3726,950,5965189
4191,3575,1130,13524731
2298,4874,180,4403484
4464,4547,1493,13138625
1452,4392,332,650160
312,4906,1965,-9542946
2443,1523,38,5910375
2916,2850,1747,3524106
2282,4840,401,3266684
2548,1277,731,5558817
1011,501,1307,367314
4658,579,16,21687700
3101,26,775,9596051
3486,2973,245,11423811
2626,4872,1472,-275708
1388,1531,188,1638716
2151,2733,200,4080201
2877,2803,1586,3831571
2010,3535,158,3481570
4464,3015,449,18573561
835,2182,1417,-2394669
2447,100,1009,5886909
4038,3910,281,15206734
2772,4506,643,4786626
3621,1412,968,11744825
1403,2961,1678,-3000149
1241,1280,196,1289201
2536,4387,831,2785699
2668,3432,1041,3545512
1344,2947,1516,-2661316
3322,2368,1344,7853092
2978,1920,1876,5266564
3741,4816,1604,6270217
2045,1643,571,3243872
2880,1050,1229,7003950
3197,2220,25,10165309
2103,2036,906,2577993
4166,4759,857,13277093
385,4645,937,-4204140
1708,3350,829,140114
1807,2273,955,1094534
3379,2761,1744,6602457
1585,1971,869,799426
982,115,783,874279
2198,646,17,4820222
4009,458,830,15691941
728,1531,1528,-1809384
157,516,942,-461423
4032,3307,1476,11375892
860,2581,1939,-4264959
1077,369,500,975429
4693,490,1265,21404399
2586,1877,1375,4106521
3329,3260,369,9879301
4926,3926,1401,18765150
2847,2853,1708,3232485
4687,1837,1262,19649675
3017,3628,868,5953185
4484,907,1823,18452795
4535,711,1951,19179064
173,810,759,-584861
253,3711,45,-102986
2270,403,1153,4688241
1206,3226,1836,-4468500
840,2804,528,-774912
3514,4058,100,11942396
3416,3611,1595,5909511
3742,4783,586,11199726
3830,2885,116,14334240
883,1660,6,769729
3802,1081,1303,13046661
4237,790,1948,16413249
122,4375,392,-1700116
234,4165,1302,-5368074
3868,1163,116,14826516
2458,2479,1575,2137339
4388,1850,176,18928944
907,3670,592,-1349991
3731,4122,94,13532893
1561,1365,1651,183106
1565,1417,996,1037893
3389,1351,1371,9633100
1854,1347,1106,1947534
2613,18,734,6814557
2779,2429,1086,5084947
3778,659,211,14134235
3883,2304,1092,12561721
4372,3206,1254,15094060
643,204,161,380605
1919,1914,1223,1341739
3062,4136,42,9202132
3523,2433,1642,8416543
864,1879,398,-1346
804,1271,1046,-683050
2221,3480,1700,-983159
4682,1378,878,20711240
2997,2446,942,6677877
3782,2374,1545,10635694
4527,3982,233,19565923
2075,4722,511,1892683
2527,1253,1584,4400977
2017,1627,1542,1559455
3641,1374,229,12942235
4239,4439,430,16060351
231,527,840,-389319
1732,2255,949,859829
801,3703,967,-2939200
3331,555,1585,10215886
2541,3914,214,5619085
3158,2033,1731,6453841
4099,3601,1545,11238256
4327,160,283,18677649
4236,534,1869,16945650
774,725,1640,-589924
4880,4065,1425,18021775
2842,2681,834,5841010
1880,1914,354,2856844
1982,3889,134,3407198
1455,4951,100,1621925
466,3367,1943,-6324925
4979,2481,1157,21919924
4039,2852,1905,10880461
10,1668,107,-178376
988,1,329,975815
3161,4212,143,9389605
1348,22,141,1814002
3548,2942,816,10187632
1450,3947,457,298721
568,3606,1356,-4567112
4240,4184,886,14270576
655,1142,812,-498279
2380,4577,1522,-1301794
3811,3043,1811,9012848
596,1559,1771,-2405773
4651,378,1477,21073495
1788,3405,436,1712364
761,1257,1223,-958190
3490,4718,397,10307054
1892,1206,522,2950132
1451,3844,1916,-5259703
646,1532,444,-262892
482,175,839,85499
1632,290,308,2574104
809,1674,1367,-1633877
593,1899,995,-1537856
4136,794,196,16950872
304,2707,240,-557264
1522,3208,905,-586756
1885,4380,783,123685
4955,3384,1857,18267937
1247,1626,1789,-1353905
842,1531,787,-495933
1684,1886,126,2598220
2627,277,1257,6552940
3598,1973,960,11051524
3463,556,392,11774417
4691,3093,824,19456849
4180,4123,17,17402309
3265,151,1780,10391445
3511,3195,1022,9061831
1748,1095,1591,1313359
3646,1280,783,12291076
3013,3425,77,8814444
3710,60,1036,13701940
1528,2029,1261,-223785
2442,1781,44,5885000
969,1974,1232,-1493007
1774,500,1870,2212076
3822,1702,1730,11663224
1015,815,1398,-109145
1073,4557,1076,-3752003
2046,246,1843,3732738
1166,1121,175,1163381
3967,2538,508,14447785
1584,2718,1369,-1211886
249,4879,1201,-5797678
3925,1090,339,15036115
4970,4045,1547,18443285
25,3442,1582,-5444619
1302,583,1104,1051572
2116,2928,1763,-684608
3391,193,1848,11142217
1509,3227,334,1199263
3745,226,691,13868859
2904,1076,1900,6388816
4463,621,1850,18769519
3064,1021,280,9102216
1963,2930,1383,-198821
3988,4779,1811,7249375
3158,3838,960,6288484
1070,2905,1875,-4301975
1594,2393,270,1894726
545,2802,1220,-3121415
2143,3900,314,3367849
2496,2169,1550,2868066
3245,784,1259,9542969
905,628,151,724197
3294,1227,1999,8397663
413,3449,578,-1822953
502,2112,68,108388
3070,4513,1433,2957771
1142,1267,1567,-681225
2632,4605,1368,627784
1106,3086,756,-1109780
4088,2569,937,14304591
2690,3758,791,4263522
1573,3608,1308,-2244935
1693,1053,475,2366074
1419,3561,1279,-2540958
4114,4104,1395,11199916
4307,4542,1780,10465489
2276,2502,1774,741628
1062,1313,489,485787
41,18,185,-1649
4916,2190,1294,21333196
3881,3598,1932,8110825
3871,2455,1102,12279231
1242,3014,86,1283360
3830,2393,356,13816992
30,3142,301,-944842
2849,3665,50,7933551
1591,4689,251,1354342
3521,1806,541,11420395
4475,122,779,19930587
1939,4669,1678,-4074861
2655,1344,764,6022209
1037,3793,1291,-3821394
802,4594,471,-1520570
2501,3921,1249,1357672
1736,3987,792,-144008
1197,449,253,1319212
1010,4062,160,370180
2803,1295,230,7558959
4836,2239,1213,20670989
3365,2661,1008,8640937
2722,4229,147,6787621
3397,3224,1664,6174873
2197,310,1014,4512469
4337,902,549,18314371
2699,500,1844,6362601
1245,3248,1300,-2672375
2692,4602,1459,532546
1491,4154,472,262393
2845,1251,288,7733737
3373,2611,42,11267467
431,1696,696,-994655
4693,1012,33,21990853
1142,3403,787,-1373997
4378,2400,967,16846084
1782,544,442,2935076
4763,154,1098,22517077
4089,824,1221,15713817
2509,4455,1823,-1826384
2571,2416,568,5237753
2048,3298,1906,-2091684
557,323,841,38606
1297,2897,1671,-3158678
4816,4476,1283,17451148
383,3522,1986,-6848003
1400,1690,1929,-1300010
2169,40,281,4693321
3732,553,861,13451691
1972,1901,271,3373613
677,4677,982,-4134485
3017,240,397,9007009
880,4913,1796,-8049348
1886,231,33,3549373
233,2634,1960,-5108351
373,3699,911,-3230660
1889,2609,1035,868006
725,3016,1215,-3138815
601,1001,103,258098
1910,3831,125,3169225
3498,1369,735,11229789
3208,3937,1556,4165292
178,1749,1346,-2322470
2791,2155,1646,4242551
3969,3037,1492,11221757
4477,4531,1091,15100208
984,4699,236,-140708
2831,330,581,7822831
1226,4328,1365,-4404644
41,51,1004,-49523
3957,4056,1229,10673025
1091,3331,3,1180288
187,1207,527,-601120
4468,3091,794,17508770
4920,126,843,24100182
1511,1882,813,753055
4111,3955,560,14685521
3116,3569,1418,4648614
229,4700,1796,-8388759
3790,1950,830,12745600
1242,351,766,1273698
1343,3832,1275,-3082151
4732,4341,1383,16388221
4960,1607,137,24381441
1675,900,1202,1723825
1157,3316,1654,-4146015
443,1507,1947,-2737880
2498,1664,185,5932164
2719,257,1155,7096126
1962,2507,1996,-1154528
1747,4489,787,-480834
265,1276,1525,-1875675
2277,3447,905,2065194
2766,661,112,7576724
3595,4947,1385,6072430
1639,2070,789,1053091
2826,3701,1640,1916636
451,3784,857,-3039487
1524,3534,426,817092
393,2025,969,-1807776
3022,2593,1798,4470270
1021,4259,1223,-4166316
3982,3761,931,12354833
2647,2246,1562,3498357
2972,3797,1947,1440025
633,454,1467,-265329
3547,3967,638,10050263
2939,3912,885,5175601
1934,2130,438,2807416
4435,4834,391,17779131
1216,3065,1278,-2438414
4486,1368,1858,17582452
4278,910,389,17947294
4638,663,694,21050922
3547,3343,1042,9097803
2877,1234,774,7322013
3847,4604,16,14725745
277,3537,1345,-4680536
769,3475,1544,-4774039
1729,3255,982,-206969
2958,3614,633,6462102
1294,2900,661,-242464
4022,2875,109,15863109
4718,297,1221,21896887
4940,4791,926,19967134
3495,2008,467,11277289
1842,765,999,2628729
1627,1110,1550,926629
1759,3395,1640,-2473719
4580,4000,1260,15936400
2167,613,1732,3634173
2326,3109,427,4082733
3573,2116,60,12639369
4381,4534,1551,12160927
1397,2054,1658,-1453923
3337,2513,1538,7270575
307,876,957,-744083
4849,2085,229,23035336
1845,2232,1793,-597951
1778,4702,1731,-4977878
3425,104,84,11721889
3264,1505,351,10125441
3158,3711,1059,6043015
1406,4818,940,-2552084
3265,4807,1742,2286431
3538,125,1614,12315694
3035,4409,327,7769482
2145,2520,1255,1438425
3205,4939,854,6054119
1219,2015,1773,-2086634
2957,212,1540,8417369
2784,1179,1267,6256863
629,4415,1600,-6668359
3219,2437,271,9701534
326,4127,1764,-7173752
3079,4918,1757,839315
3609,4164,170,12317001
650,786,1532,-781652
932,686,1246,13868
4535,3705,1443,15219910
3307,3704,535,8954609
2166,2306,1188,1952028
721,2945,1728,-4569119
2162,713,1181,3832191
2067,1179,1127,2943756
4737,3787,1763,15762688
2776,292,1349,7312268
2832,2490,1000,5530224
146,3496,997,-3464196
1997,4081,1823,-3451654
4356,2232,1920,14689296
1702,3731,1690,-3408586
2425,1694,543,4960783
1555,3641,75,2144950
1424,2547,1381,-1489631
4251,965,263,17817206
2136,440,186,4480656
1107,2472,1667,-2895375
636,929,544,-100880
2680,148,7,7181364
3690,1155,581,12945045
1146,3343,217,587885
4119,2767,591,15330864
2859,4524,1315,2224821
718,1797,613,-586037
1763,3761,742,317507
1676,4121,1472,-3257136
3662,317,1055,13075809
1049,450,761,757951
3802,1256,1494,12578740
1168,4873,1010,-3557506
4396,2528,1717,14984240
1781,2021,806,1543035
2947,2307,1601,4991302
4843,900,1508,22097449
98,3740,607,-2260576
2921,2253,1232,5756545
585,2107,575,-869300
4138,818,1227,16119358
74,2507,150,-370574
3853,4323,632,12113473
1015,2143,1023,-1162064
2678,2834,1955,1631214
3510,445,451,12119405
4729,1067,1102,21187607
4902,2278,1654,20261792
1532,4250,542,43524
1563,4623,1197,-3090762
1167,4927,1503,-6043392
4674,1575,130,21641526
1185,152,232,1368961
1861,3722,1406,-1769811
4726,680,1922,21028116
1891,1648,1445,1194521
3055,622,583,8970399
2394,734,579,5306250
2387,503,906,5242051
499,4926,1872,-8972471
3459,3024,956,9073737
665,2031,686,-951041
160,3818,1919,-7301142
3140,2737,529,8411727
728,4175,719,-2471841
438,3815,539,-1864441
4573,2283,826,19026571
1641,1380,778,1619241
1099,2171,1043,-1056552
3498,3548,1487,6960128
587,4012,1386,-5216063
3269,4233,661,7888348
1434,1309,1560,14316
1855,3901,1324,-1723899
1381,221,617,1770804
4375,3459,387,17801992
1756,4757,133,2450855
3292,1579,112,10660416
4891,3338,1762,18040325
3866,1260,841,13886296
2977,3213,1018,5591695
2205,2835,1026,1953315
3291,1131,1211,9461040
3753,1394,164,13856393
79,316,1562,-487351
2544,1485,1790,3813786
2186,448,188,4694372
3546,2420,190,12114316
2394,1731,1523,3094923
4253,1399,466,17436075
3223,3580,888,7208689
1326,3847,466,-34426
988,2505,1382,-2485766
4499,3129,1833,14505544
1215,18,1953,1441071
3697,1519,225,13326034
635,1759,1477,-2194818
1442,4984,1580,-5795356
1262,2186,1621,-1950862
3416,4885,1180,5904756
4229,4338,371,16275043
1051,76,1294,1006257
614,3936,1832,-6833756
976,2645,1476,-2951444
3807,4332,944,10403841
3343,3811,528,9163441
2157,2875,1250,1058899
3344,1991,539,10109187
2229,890,1997,3191111
3042,3881,1461,3583623
684,1879,353,-195431
207,577,1782,-985365
1555,3385,101,2076140
1234,3856,208,720708
4080,2883,1310,12869670
3812,1448,116,14363376
4972,2214,1363,21703102
3815,2831,1485,10350190
3608,2301,1843,8776921
4428,699,1093,18843177
101,2438,350,-843099
4857,1251,1469,21752730
2238,2004,481,4044720
1002,2843,1816,-4158884
4786,1258,745,21968586
2522,274,554,6208688
4034,645,195,16147381
1049,1279,505,454506
1986,1295,128,3778436
2513,1368,1747,3925273
3840,858,1831,13174602
1082,3390,1914,-5317736
3536,427,1481,11870909
4530,1477,629,19591867
2874,2755,1494,4143906
3731,4877,188,13003485
4188,4342,424,15698336
4905,4586,639,21128571
1166,3563,45,1199221
2029,376,73,4089393
1772,3978,559,916282
4835,2844,432,22148617
3602,3356,1712,7228932
2097,3494,1795,-1874321
4262,777,1902,16686790
446,3032,342,-838028
2530,951,1588,4890712
3666,2128,532,12307460
2985,4222,188,8116489
1725,1773,819,1523538
68,637,1916,-1215868
3065,4641,1175,3941050
4439,2542,563,18273575
4566,4367,1407,14703987
1368,4697,791,-1843903
1154,66,1576,1227700
836,4595,1377,-5628419
1720,4625,1007,-1698975
228,1130,1621,-1779746
4457,1254,601,19111195
1875,939,12,3504357
2093,3227,1466,-350133
1164,1739,1021,-420623
3306,776,530,10518356
1635,166,790,2542085
565,1432,1951,-2474607
825,2057,1852,-3128939
1482,3223,1874,-3843578
1868,2696,1601,-826872
80,1307,38,-43266
1454,2141,1746,-1624070
4855,2648,1570,19413665
3294,1204,674,10038940
4106,3541,439,15304737
1102,3088,1441,-3235404
2558,1129,1137,5259691
1801,3945,802,79711
4333,3175,897,15926914
1175,3723,1017,-2405666
3598,3823,782,9956018
4318,4337,91,18250457
984,2450,1548,-2824344
2588,3187,704,4454096
754,2430,875,-1557734
583,4458,1365,-5745281
4666,664,1106,21037172
4616,1645,385,20674131
1025,2464,1267,-2071263
4147,389,403,17040842
3874,4296,1149,10071772
185,4452,900,-3972575
4585,2932,848,18535889
676,1018,886,-444972
4468,823,480,19567984
4220,3587,420,16301860
1201,177,624,1331953
4865,3028,1108,20313201
217,1527,1548,-2316707
43,3546,1857,-6583073
2270,3297,1192,1222876
3432,694,711,11285190
4524,4102,776,17283424
1698,929,1144,1820428
3544,4511,1542,5603974
2777,4033,26,7606871
4639,2530,1354,18094701
940,2168,1988,-3426384
1571,2590,1296,-888599
739,477,1273,-61100
2243,4045,648,2409889
990,2950,1436,-3256100
221,2627,170,-397749
1369,2029,1068,-292811
4794,1866,1254,20642472
2220,4718,353,3262946
1789,2708,1939,-2050291
1274,1294,151,1427682
664,3360,1801,-5610464
1104,1802,1369,-1248122
2858,4062,1816,791572
2897,954,1940,6541849
1500,1511,724,1156036
3486,261,497,12022479
1075,3576,1835,-5406335
2051,760,577,3768081
1419,1235,1958,-404569
3217,668,358,10109945
1905,1586,938,2141357
1123,403,711,974596
2039,3229,1575,-928154
272,1469,570,-763346
875,2622,1793,-3935621
4740,3771,125,21996225
2885,385,747,8035630
456,1949,234,-248130
3517,944,1073,11356377
3702,4198,1758,6324720
4200,362,254,17548052
611,186,688,245353
3876,3465,1354,10331766
9,4289,1770,-7591449
1618,1202,1596,699532
3387,1713,1981,8078316
3325,4954,1917,1558807
2157,2845,1353,803364
199,4096,1118,-4539727
